EmpID,FirstName,LastName,StartDate,ExitDate,Title,Supervisor,ADEmail,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,performance level
2583,Gerry,Friedman,16-Sep-20,,Area Sales Manager,Raymond Fields,gerry.friedman@bilearner.com,PYZ,Active,Contract,Zone B,Temporary,Unk,,Sales,Engineers,29-02-1996,NY,Project Manager,Male,10171,Black,Married,Fully Meets,5,VERY HIGH
2584,Noah,Villanueva,23-Apr-23,,Area Sales Manager,Samuel Reyes,noah.villanueva@bilearner.com,TNS,Active,Part-Time,Zone C,Part-Time,Unk,,Sales,Engineers,27-09-1956,ME,Engineer,Male,4063,White,Single,Fully Meets,4,HIGH
2585,Mike,Guilianno,04-Jun-21,,Area Sales Manager,Martha Stone,mike.guilianno@bilearner.com,PYZ,Active,Contract,Zone A,Temporary,Unk,,Sales,General - Con,21-05-2001,TN,Laborer,Male,37129,Asian,Divorced,Fully Meets,2,LOW
2586,Travis,Ozark,15-Apr-20,,Area Sales Manager,Joshua Campbell,travis.ozark@bilearner.com,CCDR,Active,Full-Time,Zone B,Temporary,Unk,,Sales,Field Operations,25-04-1980,NC,Laborer,Male,27229,Asian,Divorced,Fully Meets,4,HIGH
2587,Rylee,Frye,04-Sep-19,13-Apr-20,Area Sales Manager,Ashley Phillips,rylee.frye@bilearner.com,NEL,Active,Full-Time,Zone A,Part-Time,Involuntary,Rest society tell into ahead.,Sales,Field Operations,31-07-2000,MA,Technician,Male,69470,Other,Widowed,Fully Meets,5,VERY HIGH
2588,Callum,Ford,18-Aug-20,,Area Sales Manager,Joshua Mccoy,callum.ford@bilearner.com,PL,Active,Full-Time,Zone C,Full-Time,Unk,,Sales,Field Operations,24-07-1988,MA,Laborer,Male,90985,Other,Single,Fully Meets,5,VERY HIGH
2589,Jabari,Frank,05-Dec-20,,Area Sales Manager,Timothy Brown,jabari.frank@bilearner.com,BPC,Active,Contract,Zone A,Temporary,Unk,,Sales,Fielders,26-12-1950,AZ,Engineer,Male,62646,Asian,Single,Fully Meets,5,VERY HIGH
2590,Stephanie,Wilkinson,13-Jan-23,12-Feb-23,Area Sales Manager,Nancy Mccarthy,stephanie.wilkinson@bilearner.com,CCDR,Active,Part-Time,Zone A,Full-Time,Retirement,Media move management if my.,Sales,Engineers,07-02-1998,AZ,Engineer,Male,47626,Asian,Married,Fully Meets,5,VERY HIGH
2591,Cruz,Arellano,17-Sep-19,,Area Sales Manager,Patricia Martinez,cruz.arellano@bilearner.com,SVG,Active,Full-Time,Zone B,Full-Time,Unk,,Sales,General - Con,08-08-1993,AZ,Laborer,Male,19215,Asian,Single,Fully Meets,4,HIGH
2592,Rubi,Shields,15-Oct-20,,Area Sales Manager,Martin Shelton,rubi.shields@bilearner.com,EW,Active,Contract,Zone B,Part-Time,Unk,,Sales,Field Operations,12-06-1949,TN,Splicer,Male,80307,Asian,Single,Fully Meets,2,LOW
2593,Sage,Booker,01-Dec-18,23-Jun-21,Area Sales Manager,Kimberly Lee,sage.booker@bilearner.com,MSC,Active,Contract,Zone A,Temporary,Voluntary,Weight join evidence oil father.,Sales,General - Con,08-02-1972,TN,Laborer,Male,64576,Other,Widowed,Fully Meets,1,LOW
2594,Aileen,Wright,24-Jul-23,,Area Sales Manager,Nathan Silva,aileen.wright@bilearner.com,TNS,Active,Part-Time,Zone C,Temporary,Unk,,Sales,Fielders,27-03-1956,TN,Engineer,Male,1126,Other,Divorced,Fully Meets,1,LOW
2595,Karly,Ho,08-Oct-19,,Area Sales Manager,Julie Young,karly.ho@bilearner.com,PYZ,Active,Part-Time,Zone A,Full-Time,Unk,,Sales,Aerial,25-03-1998,TN,Administrator,Male,68371,Asian,Divorced,Fully Meets,4,HIGH
2596,Thaddeus,Lutz,16-Oct-21,04-May-22,Area Sales Manager,Katelyn Kramer,thaddeus.lutz@bilearner.com,WBL,Active,Contract,Zone A,Full-Time,Voluntary,Also protect scientist. Fear result major the.,Sales,Corp Operations,20-05-1977,ID,Administrative,Male,68985,Black,Divorced,Fully Meets,2,LOW
2597,Layla,Kane,03-Apr-20,,Area Sales Manager,Mrs. Deanna Cooper,layla.kane@bilearner.com,NEL,Active,Contract,Zone A,Full-Time,Unk,,Sales,Field Operations,25-09-1944,ID,Technician,Male,92704,Asian,Divorced,Fully Meets,2,LOW
2598,Yesenia,Payne,08-Jan-20,,Area Sales Manager,Brian Scott,yesenia.payne@bilearner.com,PL,Active,Part-Time,Zone A,Temporary,Unk,,Sales,General - Con,05-09-1964,ID,Splicer,Male,8573,Asian,Divorced,Fully Meets,4,HIGH
2599,Jase,Waters,27-Mar-22,14-Jun-23,Administrative Assistant,Michaela Jones,jase.waters@bilearner.com,BPC,Active,Contract,Zone A,Temporary,Voluntary,Very research level send picture pressure our.,Sales,Yard (Material Handling),11-07-1942,ID,Runner,Female,40513,Black,Widowed,Fully Meets,2,LOW
2600,Thomas,Sloan,18-Sep-18,,Administrative Assistant,Kelsey Dunn,thomas.sloan@bilearner.com,CCDR,Active,Full-Time,Zone C,Temporary,Unk,,Sales,Aerial,16-01-1965,WA,Lineman,Female,46029,Asian,Widowed,Fully Meets,2,LOW
2601,Anya,Baldwin,29-Nov-19,21-Apr-20,Administrative Assistant,Lonnie Sanders,anya.baldwin@bilearner.com,SVG,Active,Full-Time,Zone C,Part-Time,Involuntary,Glass effort however relate partner lay what.,Sales,General - Con,02-03-2001,WA,Laborer,Female,44158,Hispanic,Widowed,Fully Meets,1,LOW
2602,Jacquelyn,Austin,16-Apr-19,05-Aug-22,Accountant I,Ariana Brady,jacquelyn.austin@bilearner.com,EW,Active,Full-Time,Zone C,Full-Time,Involuntary,Rather middle organization officer.,Admin Offices,Wireline Construction,07-08-1982,MA,Clerk,Female,27947,Other,Widowed,Fully Meets,2,LOW
2603,Kaitlynn,Aguirre,05-Mar-19,12-Oct-19,Area Sales Manager,Jessica Rose,kaitlynn.aguirre@bilearner.com,NEL,Active,Part-Time,Zone A,Full-Time,Involuntary,Front tend couple a budget strategy.,Sales,Splicing,08-06-1999,MA,Splicer,Male,18574,Other,Divorced,Fully Meets,2,LOW
2604,Saniyah,Cantu,20-Dec-18,29-May-20,Area Sales Manager,Barbara Neal,saniyah.cantu@bilearner.com,PL,Active,Contract,Zone C,Full-Time,Voluntary,Compare factor only together.,Sales,Aerial,10-03-1987,MA,Engineer,Male,68833,Other,Divorced,Fully Meets,5,VERY HIGH
2605,Jakayla,Dickson,08-Mar-21,29-May-23,Area Sales Manager,Julie Mcclain,jakayla.dickson@bilearner.com,BPC,Active,Full-Time,Zone C,Part-Time,Retirement,Situation affect medical friend audience fight.,Sales,Wireline Construction,11-08-1968,AZ,Supervisor,Male,29838,Black,Married,Fully Meets,4,HIGH
2606,Aspen,Freeman,23-Oct-20,,Area Sales Manager,Mary Mitchell,aspen.freeman@bilearner.com,CCDR,Active,Full-Time,Zone C,Part-Time,Unk,,Sales,Project Management - Con,02-08-1951,AZ,Project Manager,Male,24803,White,Single,Fully Meets,2,LOW
2607,Lamont,Summers,29-Mar-19,,Area Sales Manager,Jason Reeves,lamont.summers@bilearner.com,SVG,Active,Contract,Zone B,Part-Time,Unk,,Sales,Fielders,14-10-1976,AL,Engineer,Male,89972,White,Married,Fully Meets,2,LOW
2608,Lewis,Hobbs,25-Oct-20,,Area Sales Manager,Cynthia Hurley,lewis.hobbs@bilearner.com,EW,Active,Contract,Zone A,Full-Time,Unk,,Sales,Field Operations,01-12-1977,TN,Lineman,Male,47864,Asian,Married,Fully Meets,4,HIGH
2609,Harrison,Camacho,06-Dec-19,18-Jul-21,Area Sales Manager,Robert Thompson,harrison.camacho@bilearner.com,MSC,Active,Part-Time,Zone B,Temporary,Retirement,Upon budget class college now this trade.,Sales,General - Sga,13-08-1971,TN,Administrative,Male,55114,Asian,Widowed,Fully Meets,2,LOW
